job_id,title,search_role,company,location,country,salary_min,salary_max,contract_type,created_date
5753028382,AI Engineer - Cybersécurité,AI Engineer,Urban Linker,"Paris, Ile-de-France",France,,,,2026-06-05T11:59:13Z
5753052896,Senior Machine Learning Engineer,Machine Learning Engineer,Doctrine,"Paris, Ile-de-France",France,,,,2026-06-05T12:07:36Z
5753221439,Freelance Machine Learning Engineer,Machine Learning Engineer,Mindrift,"Paris, Ile-de-France",France,,,,2026-06-05T15:09:15Z
5753221444,Freelance Machine Learning Engineer,Machine Learning Engineer,Mindrift,France,France,,,,2026-06-05T15:09:15Z
5753221445,Freelance Machine Learning Engineer,Machine Learning Engineer,Mindrift,"Lyon, Rhône",France,,,,2026-06-05T15:09:15Z
5753252128,Data Analyst Financier (h/f) (Intérim),Data Analyst,LHH,"Hauts-de-Seine, Ile-de-France",France,,,contract,2026-06-05T15:34:51Z
5753324071,Data Scientist,Data Scientist,CapsLock,France,France,,,,2026-06-05T18:14:47Z
5754861779,Data analyst (f/h) (CDI),Data Analyst,MICHAEL PAGE,"Éguilles, Pélissanne",France,,,permanent,2026-06-06T23:40:52Z
5755358978,Data Engineer-Paris_CDI,Data Engineer,"Halian | Managed Services, Recruitment Agency & Contract Staffing",France,France,,,,2026-06-07T12:02:17Z
5755363382,"Lead AI Engineer (LLM, RAG, NLP)",AI Engineer,Rakam AI,"Paris, Ile-de-France",France,,,,2026-06-07T12:06:26Z
5755363876,Consultant Data Scientist/Machine Learning Engineer - Paris (F/H),Machine Learning Engineer,T&S,France,France,,,,2026-06-07T12:07:14Z
5755366415,Data Scientist Senior,Data Scientist,SOFTEAM Expertise Data & IA,"Ile-de-France, France",France,,,,2026-06-07T12:10:16Z
5755367225,Senior AI Engineer,AI Engineer,DeepRec.ai,"Paris, Ile-de-France",France,,,,2026-06-07T12:10:55Z
5755367337,Lead AI Engineer & Product H/F,AI Engineer,KPC,France,France,,,,2026-06-07T12:10:57Z
5755701088,FR - Machine Learning Engineer,Machine Learning Engineer,MARSS,"Nice 13e Canton, Nice",France,,,,2026-06-07T22:57:13Z
5757056049,Machine Learning Engineer,Machine Learning Engineer,trg.recruitment,"Paris, Ile-de-France",France,,,,2026-06-09T12:08:41Z
5757058066,Data Engineer TERADATA H/F,Data Engineer,HN SERVICES,"Val-de-Marne, Ile-de-France",France,,,,2026-06-09T12:13:14Z
5757866930,Machine Learning Engineer - Freelance,Machine Learning Engineer,Collective.work,"8ème Arrondissement, Paris",France,,,contract,2026-06-10T03:25:06Z
5759087536,Machine Learning Engineer - Paris,Machine Learning Engineer,DentalMonitoring,"17ème Arrondissement, Paris",France,,,,2026-06-10T23:16:29Z
5759793727,Data scientist,Data Scientist,Agence nationale de sécurité sanitaire - Anses,"Niort, Deux-Sèvres",France,,,,2026-06-11T11:58:37Z
5759794807,Lead Data Engineer Snowflake,Data Engineer,Tenth Revolution Group,"Paris, Ile-de-France",France,,,,2026-06-11T11:58:54Z
5759796076,Senior AI Engineer,AI Engineer,Cavendish Professionals,France,France,,,,2026-06-11T11:59:12Z
5760743723,DATA ANALYST,Data Analyst,Toutechniciens,"Magny-les-Hameaux, Maurepas",France,38000,40000,,2026-06-12T03:14:33Z
5761603839,Data Analyst,Data Analyst,Capijobnew,France,France,,,,2026-06-12T22:34:05Z
