job_id,title,search_role,company,location,country,salary_min,salary_max,contract_type,created_date,description
5662770874,Data scientist,Data Scientist,Caisse des dépôts groupe,"Paris, Ile-de-France",France,,,contract,2026-03-12T21:15:28Z,"Vos missions en quelques mots Au sein de la Direction des prêts de la Banque des Territoires, vous rejoignez l’équipe DPHD80 Data Etudes et Pilotage en tant que Data Scientist. Votre mission principale consistera à concevoir et mettre en œuvre des outils de traitement automatique du langage (NLP) pour analyser, classifier et extraire automatiquement des informations à partir des documents textuels liés aux dossiers de prêt. Vous pourrez être amené(e), ponctuellement et lorsque cela sera nécessa…"
5481820243,Data Scientist,Data Scientist,Veepee,"Paris, Ile-de-France",France,,,,2025-11-05T11:47:48Z,"Pioneer of online flash sales since 2001 and key player in European e-commerce, Veepee collaborates with over 7,000 brands to offer highly discounted products available for a limited time. Operating across various sectors, including fashion, home, wine, travel or beauty Veepee achieved a turnover of 3.3 billion euros incl. VAT in 2024 and employs 5,000 staff members across 10 countries.  JOB DESCRIPTION As a Data Scientist, you’ll join our Data Science team, distributed across Paris, Lyon, Barc…"
5759793727,Data scientist,Data Scientist,Agence nationale de sécurité sanitaire - Anses,"Niort, Deux-Sèvres",France,,,,2026-06-11T11:58:37Z,L’Anses recrute un Data scientist (H/F) Poste basé à Niort (79) - Contrat à durée déterminée de droit public jusqu’au 31/12/2028 - Date de prise de fonctions : Septembre 2026 Rémunération : Selon l’expérience et le niveau de formation par référence aux grilles indiciaires des agences sanitaires ou selon statut particulier si fonctionnaire. Conditions particulières : Déplacements en France (grand Ouest) et ponctuellement en Europe. Réunions régulières en visioconférence avec les partenaires étra…
5747424762,Data Scientist,Data Scientist,ChemAI,"Lyon, Rhône",France,,,,2026-06-01T11:38:01Z,"About ChemAI ChemAI is an AI-for-chemistry company building SmartChemistry® - a “chess engine for chemistry” that discovers novel, manufacturable synthetic routes to known medicines. Our edge is a proprietary reaction corpus of 30M reactions, dominated by industrially relevant process chemistry rather than the small-scale medicinal-chemistry data that most AI tools in this space are trained on. We work in two strategically linked directions: with non-profit foundation partners, we use SmartChem…"
5726654809,Data Scientist,Data Scientist,Armée de l’air et de l’espace,"Mont-de-Marsan, Landes",France,,,,2026-05-12T11:24:11Z,"Être militaire, c’est servir l’État, au sein des Armées, en portant l’uniforme. Cela implique discipline, disponibilité et loyauté. Le sens de l’adaptation et le goût de l’effort sont des qualités indispensables. Être officier, c’est être en situation de responsabilité, en particulier auprès du personnel placé sous ses ordres. Cela suppose d’avoir le sens de l’humain et une certaine forme d’exigence vis-à-vis de soi-même. ESIOC 62.430 Mont-de-Marsan Les missions de l’Escadron des systèmes d’inf…"
5744957691,Data Scientist,Data Scientist,"Ministère des armées. Liberté, égalité, fraternité.","Paris, Ile-de-France",France,,,contract,2026-05-29T23:07:31Z,"Vos missions en quelques mots - organise la phase de recueil du besoin DATA pour les projets applicatifs de la plateforme et propose les évolutions d’architecture pour permettre leur stockage, transformation, mise en qualité et utilisation. Il collabore avec l’équipe d’architecture plateforme - organise la sécurisation des accès et la gestion applicative de ces derniers au sein de la plateforme (Usine logicielle du CICoS). Il gère les équipes de développement Data/IA pour la réalisation des log…"
5661254579,Data scientist,Data Scientist,Cdiscount,"Gironde, Nouvelle-Aquitaine",France,,,permanent,2026-03-11T05:07:09Z,"Chez Peaksys, les équipes Data Science sont au cœur de la stratégie d’innovation. En rejoignant l’équipe Data Consulting, tu participeras activement au développement et à l’optimisation des modèles (ML, IA, Image,…) pour améliorer les équipes d’Octopia et de CNova dans l’amélioration des performance business que ce soit au niveau de l’écosystème des vendeurs, de la gestion de catalogue ou encore au niveau des référentiels offres ou catalogues. Tu seras impliqué dans : - Le développement de modè…"
5722078684,Data Scientist,Data Scientist,Sonio,"Paris, Ile-de-France",France,45000.0,55000.0,,2026-05-07T22:43:31Z,"About Sonio Each year, 140M children are born. Birth defects affect 1 in 33 births in developed countries, and in 50% of cases, they are not detected during prenatal examinations. Prenatal medicine is particularly complex, and the scans impose heavy responsibilities on healthcare professionals. They can also be a source of stress for future parents. Resulting from 5 years of collaboration between world-renowned experts from Necker Hospital and Ecole Polytechnique, Sonio uses artificial intellig…"
5747425589,Business Data Analyst,Data Analyst,Everyware - Expert recrutement tech,"Paris, Ile-de-France",France,,,,2026-06-01T11:38:35Z,"Je recrute pour mon partenaire, un acteur majeur de la protection sociale engagé dans une transformation ambitieuse de son environnement Data. Vous rejoindrez une équipe au cœur des enjeux de qualité, de gouvernance et de valorisation des données, sur des projets stratégiques autour des référentiels de données et du Master Data Management. Le poste allie expertise fonctionnelle, analyse de données et proximité avec les métiers dans un environnement technique moderne. Missions : Recueillir et an…"
5759325548,Data analyst junior h/f (CDI),Data Analyst,JD CONSULTANTS,"Cantal, Auvergne-Rhône-Alpes",France,,,permanent,2026-06-11T03:44:30Z,"JD CONSULTANTS, cabinet de recrutement spécialisé. Notre Client est un réseau vétérinaires formé depuis une vingtaine d'années par des professionnels du métier. L'ambition des vétérinaires à l'initiative de ce projet : s'allier pour réaliser des économies et mutualiser les achats et leurs connaissances. Présent à l'International, et en France depuis 6 ans, c'est dans le cadre du renforcement de l'équipe Data France, que nous recherchons un (h/f) : "" Data Analyst Junior "" Basé à Aurillac (Cantal…"
